Timing info

         851863 function calls (849405 primitive calls) in 22.520 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3682    0.004    0.000    0.050    0.000 Queue.py:142(put_nowait)
        1    0.038    0.038    0.049    0.049 _base.py:1(<module>)
     3483    0.012    0.000    0.049    0.000 _ni_support.py:70(_get_output)
     3682    0.015    0.000    0.046    0.000 Queue.py:107(put)
        1    0.046    0.046    0.046    0.046 hashlib.py:56(<module>)
        1    0.023    0.023    0.045    0.045 subprocess.py:14(<module>)
        1    0.043    0.043    0.045    0.045 __init__.py:88(<module>)
    11047    0.021    0.000    0.045    0.000 validation.py:105(_num_samples)
    20451    0.020    0.000    0.043    0.000 numeric.py:464(asanyarray)
        1    0.000    0.000    0.043    0.043 image.py:1317(pil_to_array)
        1    0.000    0.000    0.043    0.043 image.py:1323(toarray)
    29458    0.042    0.000    0.042    0.000 validation.py:153(<genexpr>)
        1    0.040    0.040    0.042    0.042 case.py:1(<module>)
        1    0.000    0.000    0.042    0.042 Image.py:632(tobytes)
        1    0.040    0.040    0.041    0.041 npyio.py:1(<module>)
     7366    0.025    0.000    0.038    0.000 validation.py:589(check_is_fitted)
     1854    0.018    0.000    0.038    0.000 FindEyes.py:253(insert)
        1    0.003    0.003    0.038    0.038 windows.py:1(<module>)
        1    0.000    0.000    0.038    0.038 ImageFile.py:130(load)
     3618    0.038    0.000    0.038    0.000 {numpy.core.multiarray.zeros}
        1    0.013    0.013    0.036    0.036 inspect.py:25(<module>)
        2    0.036    0.018    0.036    0.018 {method 'decode' of 'ImagingDecoder' objects}
        1    0.002    0.002    0.036    0.036 __init__.py:57(<module>)
        1    0.020    0.020    0.036    0.036 basic.py:7(<module>)
        1    0.003    0.003    0.035    0.035 polynomial.py:4(<module>)
        1    0.035    0.035    0.035    0.035 measurements.py:31(<module>)
        1    0.023    0.023    0.035    0.035 __init__.py:69(<module>)
        1    0.034    0.034    0.034    0.034 arpack.py:7(<module>)
        1    0.007    0.007    0.034    0.034 __init__.py:52(<module>)
        1    0.029    0.029    0.033    0.033 arrayprint.py:5(<module>)
        1    0.031    0.031    0.032    0.032 legend.py:23(<module>)
        1    0.004    0.004    0.031    0.031 stochastic_gradient.py:5(<module>)
        1    0.003    0.003    0.030    0.030 func_inspect.py:3(<module>)
       91    0.001    0.000    0.030    0.000 sre_parse.py:706(parse)
        1    0.026    0.026    0.030    0.030 rrule.py:7(<module>)
        1    0.026    0.026    0.029    0.029 __init__.py:119(<module>)
        1    0.023    0.023    0.029    0.029 rcsetup.py:15(<module>)
    52359    0.029    0.000    0.029    0.000 {hasattr}
        1    0.002    0.002    0.029    0.029 _gaussian.py:1(<module>)
        1    0.027    0.027    0.028    0.028 transforms.py:30(<module>)
   257/91    0.002    0.000    0.028    0.000 sre_parse.py:317(_parse_sub)
  359/101    0.010    0.000    0.028    0.000 sre_parse.py:395(_parse)
        1    0.006    0.006    0.027    0.027 compressed.py:1(<module>)
        2    0.027    0.013    0.027    0.014 function_base.py:1(<module>)
      303    0.013    0.000    0.027    0.000 {__import__}
        1    0.026    0.026    0.027    0.027 logger.py:5(<module>)
        1    0.027    0.027    0.027    0.027 generic.py:17(<module>)
        1    0.026    0.026    0.026    0.026 linsolve.py:1(<module>)
       11    0.000    0.000    0.026    0.002 artist.py:1322(kwdoc)
        2    0.018    0.009    0.026    0.013 __init__.py:5(<module>)
       25    0.000    0.000    0.026    0.001 getlimits.py:93(__new__)
        1    0.026    0.026    0.026    0.026 mstats.py:74(<module>)
    52943    0.026    0.000    0.026    0.000 {isinstance}
        1    0.000    0.000    0.026    0.026 decomp_schur.py:1(<module>)
        2    0.000    0.000    0.026    0.013 getlimits.py:126(_init)
        2    0.000    0.000    0.026    0.013 machar.py:97(__init__)
        2    0.008    0.004    0.025    0.013 machar.py:113(_do_init)
        1    0.017    0.017    0.025    0.025 cm.py:6(<module>)
        1    0.019    0.019    0.024    0.024 data.py:8(<module>)
        1    0.017    0.017    0.024    0.024 __init__.py:99(<module>)
        1    0.020    0.020    0.023    0.023 iterative.py:1(<module>)
        1    0.023    0.023    0.023    0.023 triangulation.py:1(<module>)
        1    0.015    0.015    0.023    0.023 ridge.py:3(<module>)
        1    0.022    0.022    0.023    0.023 subprocess.py:387(<module>)
        1    0.007    0.007    0.023    0.023 httplib.py:67(<module>)
       99    0.002    0.000    0.022    0.000 _distn_infrastructure.py:619(_construct_argparser)
        2    0.008    0.004    0.022    0.011 __init__.py:14(<module>)
        1    0.022    0.022    0.022    0.022 _ode.py:39(<module>)
       91    0.000    0.000    0.021    0.000 sre_compile.py:552(_code)
        1    0.021    0.021    0.021    0.021 mathtext.py:19(<module>)
     5008    0.010    0.000    0.021    0.000 threading.py:373(notify)
        1    0.005    0.005    0.021    0.021 data.py:7(<module>)
        1    0.020    0.020    0.020    0.020 JpegImagePlugin.py:35(<module>)
        1    0.000    0.000    0.020    0.020 __init__.py:18(pylab_setup)
        1    0.015    0.015    0.020    0.020 parser.py:16(<module>)
      251    0.012    0.000    0.020    0.000 doccer.py:128(indentcount_lines)
       11    0.001    0.000    0.020    0.002 artist.py:1036(pprint_setters)
     3072    0.019    0.000    0.019    0.000 FindEyes.py:300(dist)
